source_path,start_frame,end_frame,new_name
./pose_data/KIT/3/kick_high_left02_poses.npy,0,117,000000.npy
./pose_data/humanact12/humanact12/P11G01R02F1812T1847A0402.npy,0,-1,000001.npy
./pose_data/KIT/3/jump_left02_poses.npy,0,83,000002.npy
./pose_data/KIT/1747/displace_from_left_to_right_06_poses.npy,0,91,000003.npy
./pose_data/CMU/80/80_63_poses.npy,516,716,000004.npy
./pose_data/KIT/3/bend_right05_poses.npy,0,103,000005.npy
./pose_data/Eyes_Japan_Dataset/hamada/pose-06-hangon-hamada_poses.npy,3,203,000006.npy
./pose_data/KIT/9/step_over_gap05_poses.npy,0,111,000007.npy
./pose_data/SSM_synced/20161014_50033/ATUSquat_sync_poses.npy,0,43,000008.npy
./pose_data/KIT/572/wave_right01_poses.npy,0,116,000009.npy
./pose_data/BMLmovi/Subject_52_F_MoSh/Subject_52_F_6_poses.npy,0,70,000010.npy
./pose_data/humanact12/humanact12/P10G02R01F1423T1477A0801.npy,0,-1,000011.npy
./pose_data/KIT/378/push_recovery_stand_left03_poses.npy,0,81,000012.npy
./pose_data/CMU/36/36_15_poses.npy,225,425,000013.npy
./pose_data/TotalCapture/s3/walking2_poses.npy,647,847,000014.npy
./pose_data/MPI_HDM05/mm/HDM_mm_08-01_01_120_poses.npy,157,309,000015.npy
./pose_data/KIT/572/violin_right05_poses.npy,0,136,000016.npy
./pose_data/BMLmovi/Subject_71_F_MoSh/Subject_71_F_9_poses.npy,0,63,000017.npy
./pose_data/MPI_mosh/50020/ankles_poses.npy,0,182,000018.npy
./pose_data/BMLmovi/Subject_16_F_MoSh/Subject_16_F_14_poses.npy,0,151,000019.npy
./pose_data/EKUT/300/PushBK_25_poses.npy,0,46,000020.npy
./pose_data/KIT/4/WalkInCounterClockwiseCircle02_poses.npy,0,180,000021.npy
./pose_data/KIT/359/turn_right06_poses.npy,0,116,000022.npy
./pose_data/KIT/314/step_over_gap06_poses.npy,0,82,000023.npy
./pose_data/KIT/200/Handstand04_poses.npy,0,131,000024.npy
./pose_data/CMU/13/13_18_poses.npy,29,229,000025.npy
./pose_data/CMU/139/139_33_poses.npy,20,220,000026.npy
./pose_data/Transitions_mocap/mazen_c3d/punchkarate_jumpingtwist360_poses.npy,0,105,000027.npy
./pose_data/KIT/11/WalkingStraightBackwards09_1_poses.npy,0,108,000028.npy
./pose_data/BMLmovi/Subject_85_F_MoSh/Subject_85_F_3_poses.npy,0,73,000029.npy
./pose_data/DFaust_67/50022/50022_punching_poses.npy,0,68,000030.npy
./pose_data/MPI_HDM05/dg/HDM_dg_06-02_01_120_poses.npy,908,1108,000031.npy
./pose_data/BMLmovi/Subject_9_F_MoSh/Subject_9_F_5_poses.npy,28,228,000032.npy
./pose_data/Eyes_Japan_Dataset/aita/turn-03-look at-aita_poses.npy,5,205,000033.npy
./pose_data/ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npy,0,85,000034.npy
./pose_data/KIT/3/kneel_down_with_both_hands01_poses.npy,0,191,000035.npy
./pose_data/KIT/167/turn_left05_poses.npy,0,121,000036.npy
./pose_data/CMU/144/144_08_poses.npy,216,416,000037.npy
./pose_data/KIT/572/guitar_left12_poses.npy,0,117,000038.npy
./pose_data/BioMotionLab_NTroje/rub110/0001_treadmill_fast_poses.npy,287,487,000039.npy
./pose_data/Eyes_Japan_Dataset/kudo/gesture_etc-13-juggling imaginary-kudo_poses.npy,11,211,000040.npy
./pose_data/KIT/3/walking_forward_4steps_right_05_poses.npy,0,93,000041.npy
./pose_data/Eyes_Japan_Dataset/hamada/throw_toss-13-pass to right light-hamada_poses.npy,10,210,000042.npy
./pose_data/CMU/106/106_05_poses.npy,0,77,000043.npy
./pose_data/MPI_Limits/03099/op3_poses.npy,1,201,000044.npy
./pose_data/MPI_Limits/03100/uar1b_poses.npy,693,893,000045.npy
./pose_data/KIT/1229/hand_through_hair_with_help_02_poses.npy,0,108,000046.npy
./pose_data/CMU/144/144_24_poses.npy,631,784,000047.npy
./pose_data/CMU/28/28_02_poses.npy,13,213,000048.npy
./pose_data/Eyes_Japan_Dataset/hamada/gesture_etc-32-no-hamada_poses.npy,18,218,000049.npy
./pose_data/CMU/108/108_21_poses.npy,0,83,000050.npy
./pose_data/BMLmovi/Subject_54_F_MoSh/Subject_54_F_15_poses.npy,0,72,000051.npy
./pose_data/KIT/425/bend_right06_poses.npy,0,144,000052.npy
./pose_data/humanact12/humanact12/P08G01R02F0123T0175A0603.npy,0,-1,000053.npy
./pose_data/CMU/113/113_27_poses.npy,0,60,000054.npy
./pose_data/MPI_Limits/03100/uar5_poses.npy,145,345,000055.npy
./pose_data/EKUT/300/PushBeam_20_poses.npy,0,61,000056.npy
./pose_data/BMLmovi/Subject_54_F_MoSh/Subject_54_F_12_poses.npy,0,145,000057.npy
./pose_data/CMU/132/132_02_poses.npy,0,191,000058.npy
./pose_data/CMU/113/113_06_poses.npy,1,201,000059.npy
./pose_data/Eyes_Japan_Dataset/aita/gesture_etc-21-clapping-aita_poses.npy,23,223,000060.npy
./pose_data/BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npy,115,315,000061.npy
